,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
security,F11903M Index,I00103M Index,I00703M Index,I01103M Index,I01303M Index,I01803M Index,I02103M Index,I02203M Index,I02503M Index,I04903M Index,I07803M Index,I11203M Index,I16503M Index,I17303M Index,I21703M Index,I25103M Index,I26903M Index,I35103M Index
date,,,,,,,,,,,,,,,,,,
1999-01-01,13.9,4.585,4.884,3.887,2.962,0.397,3.379,5.9,4.469,4.495,8.05,,,,,,,
1999-01-04,13.9,4.6,4.868,3.918,3.038,0.376,3.331,6.524,4.481,4.37,8.05,,,,,,,
1999-01-05,13.61,4.65,4.863,3.846,3.053,0.335,3.332,6.727,4.491,4.37,8.02,,,,,,,
1999-01-06,13.36,4.63,4.852,3.836,3.138,0.328,3.333,6.868,4.459,4.31,7.95,,,,,,,
1999-01-07,13.41,4.6,4.875,3.734,3.149,0.308,3.604,6.754,4.438,4.37,7.92,,,,,,,
1999-01-08,13.29,4.65,4.948,3.704,3.119,0.303,3.292,5.6,4.479,4.35,7.15,,,,,,,
1999-01-11,13.36,4.615,4.968,3.714,3.06,0.282,3.29,7.952,4.511,4.325,7.8,,,,,,,
1999-01-12,13.23,4.66,4.94,3.734,3.237,0.289,3.605,8.492,4.478,4.325,7.75,,,,,,,
1999-01-13,13.23,4.665,4.911,3.765,2.988,0.299,3.655,5.599,4.435,4.435,7.75,,,,,,,
1999-01-14,13.23,4.74,4.747,3.7,3.034,0.304,3.28,5.599,4.394,4.33,7.77,,,,,,,
1999-01-15,13.29,4.65,4.803,3.74,3.035,0.308,3.261,5.6,4.416,4.305,7.75,,,,,,,
1999-01-18,12.85,4.66,4.822,3.69,3.023,0.285,3.236,5.549,4.415,3.97,7.8,,,,,,,
1999-01-19,12.85,4.665,4.863,3.71,2.967,0.287,3.567,5.549,4.361,3.93,7.83,,,,,,,
1999-01-20,13.81,4.74,4.905,3.69,2.951,0.287,3.26,5.549,4.377,3.8,7.8,,,,,,,
1999-01-21,13.76,4.74,4.612,3.68,2.947,0.286,3.244,5.549,4.283,3.84,7.78,,,,,,,
1999-01-22,13.85,4.635,4.827,3.68,2.948,0.287,3.232,5.55,4.345,3.785,7.78,,,,,,,
1999-01-25,13.71,4.625,4.828,3.7,2.948,0.296,3.218,5.549,4.429,3.95,7.82,,,,,,,
1999-01-26,13.76,4.7,4.828,3.7,2.958,0.292,3.219,5.549,4.46,3.91,7.82,,,,,,,
1999-01-27,13.73,4.675,4.791,3.7,2.968,0.297,3.207,5.549,4.428,3.84,7.8,,,,,,,
1999-01-28,13.75,4.62,4.796,3.45,2.97,0.297,3.149,5.549,4.49,3.79,7.4,,,,,,,
1999-01-29,13.95,4.57,4.8,3.45,2.951,0.3,3.204,5.55,4.457,,7.3,,,,,,,
1999-02-01,14.0,4.57,4.866,3.45,2.976,0.298,3.164,5.449,4.528,3.671,7.26,,,,,,,
1999-02-02,12.94,4.57,4.891,3.44,2.997,0.3,3.161,5.448,4.533,3.721,7.26,,,,,,,
1999-02-03,13.02,4.6,4.914,3.42,2.998,0.303,3.146,5.449,4.48,3.013,7.26,,,,,,,
1999-02-04,13.02,4.57,4.916,3.44,3.008,0.302,3.149,5.27,4.48,3.75,7.26,,,,,,,
1999-02-05,12.88,4.6,4.953,3.43,3.009,0.302,3.135,5.18,4.5,3.725,7.34,,,,,,,
1999-02-08,13.05,4.6,4.956,3.44,3.027,0.301,3.12,5.18,4.512,3.811,7.31,,,,,,,
1999-02-09,12.97,4.6,4.937,3.44,3.018,0.295,3.163,5.18,4.512,3.961,7.31,,,,,,,
1999-02-10,12.97,4.61,4.966,3.43,3.025,0.29,3.195,5.179,4.47,3.906,7.31,,,,,,,
1999-02-11,12.97,4.61,4.966,3.44,3.057,0.295,3.262,5.149,4.511,3.84,7.31,,,,,,,
1999-02-12,13.14,4.61,5.04,3.45,3.101,0.289,3.358,5.12,4.53,3.835,7.31,,,,,,,
1999-02-15,13.12,4.63,5.089,3.44,3.05,0.204,3.063,5.1,4.551,4.001,7.27,,,,,,,
1999-02-16,13.12,4.68,5.093,3.44,2.981,0.186,3.047,5.1,4.521,4.016,7.27,,,,,,,
1999-02-17,13.13,4.73,5.085,3.44,2.979,0.159,3.411,5.121,4.522,4.061,7.35,,,,,,,
1999-02-18,12.93,4.73,4.738,3.44,2.979,0.149,3.525,5.12,4.542,4.13,7.38,,,,,,,
1999-02-19,12.81,4.66,5.093,3.44,2.989,0.145,3.059,5.12,4.562,4.235,7.38,,,,,,,
1999-02-22,12.86,4.65,5.089,3.43,3.073,0.143,3.095,5.178,4.604,4.27,7.38,,,,,,,
1999-02-23,12.69,4.655,5.19,3.43,3.07,0.148,3.31,5.179,4.667,4.41,7.44,,,,,,,
1999-02-24,12.69,4.73,5.253,3.43,2.972,0.154,3.12,5.179,4.656,4.39,7.55,,,,,,,
1999-02-25,12.63,4.74,5.362,3.4,2.976,0.151,3.163,5.18,4.635,4.45,7.65,,,,,,,
1999-02-26,12.74,4.73,5.348,3.45,2.978,0.151,3.193,5.18,4.675,4.387,7.78,,,,,,,
1999-03-01,13.05,4.73,5.415,3.35,2.981,0.152,3.198,5.18,4.697,4.367,7.85,,,,,,,
1999-03-02,13.17,4.73,4.942,3.38,2.983,0.148,3.203,5.16,4.647,4.428,7.85,,,,,,,
1999-03-03,13.17,4.68,4.935,3.37,2.976,0.136,3.199,5.18,4.594,4.356,7.35,,,,,,,
1999-03-04,13.17,4.67,5.383,3.37,2.982,0.093,3.229,5.18,4.605,4.316,7.35,,,,,,,
1999-03-05,13.27,4.655,5.299,3.37,2.984,0.09,3.178,5.077,4.604,4.275,7.5,,,,,,,
1999-03-08,13.27,4.72,4.877,3.37,2.977,0.088,3.06,5.074,4.617,4.377,7.52,,,,,,,
1999-03-09,13.31,4.74,5.23,3.36,2.979,0.103,3.198,5.122,4.584,4.305,7.52,,,,,,,
1999-03-10,13.31,4.67,5.223,3.34,2.982,0.102,3.207,5.08,4.584,4.408,7.52,,,,,,,
1999-03-11,13.41,4.7,5.164,3.33,2.982,0.102,3.336,5.064,4.594,4.367,7.52,,,,,,,
1999-03-12,13.3,4.66,5.105,3.32,2.941,0.099,3.194,5.06,4.593,4.326,7.52,,,,,,,
1999-03-15,13.4,4.65,5.096,3.3,2.931,0.096,3.229,5.06,4.586,4.305,7.52,,,,,,,
1999-03-16,13.56,4.65,5.089,3.28,2.982,0.097,3.273,5.04,4.533,4.489,7.52,,,,,,,
1999-03-17,13.56,4.65,5.111,3.3,2.921,0.095,3.164,5.028,4.511,4.489,7.52,,,,,,,
1999-03-18,13.39,4.66,5.099,3.26,2.982,0.104,3.389,5.004,4.49,4.479,7.52,,,,,,,
1999-03-19,13.2,4.625,5.115,3.27,2.901,0.103,3.434,5.019,4.5,4.489,7.52,,,,,,,
1999-03-22,13.11,4.63,5.142,3.26,2.98,0.104,3.105,5.02,4.513,4.479,7.52,,,,,,,
1999-03-23,13.17,4.7,5.01,3.28,2.918,0.105,3.109,4.966,4.481,4.489,7.52,,,,,,,
1999-03-24,13.28,4.7,4.967,3.26,3.005,0.11,3.159,4.967,4.48,4.51,7.52,,,,,,,
1999-03-25,13.15,4.625,5.0,3.22,2.984,0.111,3.093,4.965,4.501,4.551,7.52,,,,,,,
1999-03-26,13.15,4.63,4.968,3.25,2.99,0.109,3.008,4.959,4.499,4.469,7.52,,,,,,,
1999-03-29,13.03,4.7,4.979,3.29,2.97,0.114,3.012,4.928,4.5,4.5,7.52,,,,,,,
1999-03-30,13.03,4.67,4.949,3.28,2.86,0.122,3.033,4.934,4.47,4.52,7.52,,,,,,,
1999-03-31,13.32,4.65,4.891,3.28,2.621,0.12,2.93,4.915,4.48,4.5,7.52,,,,,,,
1999-04-01,13.75,4.625,4.859,3.28,2.471,0.113,2.968,4.963,4.418,4.51,7.52,,,,,,,
1999-04-02,13.75,4.625,4.852,3.28,2.471,0.114,2.968,4.963,4.396,4.51,7.52,,,,,,,
1999-04-05,13.75,4.625,4.811,3.28,2.471,0.116,2.968,4.963,4.388,4.51,7.52,,,,,,,
1999-04-06,13.7,4.63,4.779,3.24,2.972,0.12,2.993,4.934,4.398,4.459,7.52,,,,,,,
1999-04-07,13.62,4.67,4.798,3.24,2.933,0.117,2.917,5.0,4.418,4.479,7.52,,,,,,,
1999-04-08,13.59,4.57,4.682,3.24,2.97,0.109,2.913,5.031,4.397,4.469,7.52,,,,,,,
1999-04-09,13.53,4.67,4.685,2.9,2.999,0.102,2.954,5.022,4.356,4.479,7.52,,,,,,,
1999-04-12,13.42,4.55,4.645,2.9,2.546,0.101,2.961,5.069,4.33,4.469,7.52,,,,,,,
1999-04-13,13.42,4.61,4.643,2.9,2.526,0.103,2.996,5.092,4.273,4.459,7.52,,,,,,,
1999-04-14,13.42,4.63,4.639,2.9,2.495,0.102,2.991,5.076,4.283,4.479,7.52,,,,,,,
1999-04-15,13.38,4.55,4.64,2.93,2.511,0.092,3.001,5.122,4.325,4.479,6.31,,,,,,,
1999-04-16,13.41,4.65,4.712,2.93,2.489,0.081,3.006,5.115,4.316,4.448,6.34,,,,,,,
1999-04-19,13.41,4.65,4.682,2.94,2.501,0.069,2.901,5.122,4.332,4.448,6.34,,,,,,,
1999-04-20,13.52,4.63,4.765,2.93,2.458,0.073,2.878,5.095,4.387,4.438,6.34,,,,,,,
1999-04-21,13.53,4.62,4.81,2.9,2.5,0.071,2.875,5.096,4.345,4.428,6.4,,,,,,,
1999-04-22,13.56,4.55,4.855,2.94,2.498,0.069,2.943,5.135,4.387,4.428,6.4,,,,,,,
1999-04-23,13.56,4.58,4.837,2.88,2.5,0.063,2.917,5.155,4.418,4.438,6.4,,,,,,,
1999-04-26,13.56,4.55,4.839,2.87,2.52,0.064,2.96,5.115,4.463,4.438,6.33,,,,,,,
1999-04-27,13.55,4.58,4.834,2.9,2.45,0.061,2.92,5.135,4.481,4.438,6.5,,,,,,,
1999-04-28,13.55,4.59,4.844,2.89,2.449,0.054,2.914,5.139,4.366,4.448,6.53,,,,,,,
1999-04-29,13.38,4.62,4.747,2.9,2.45,0.056,3.022,5.132,4.501,4.448,6.53,,,,,,,
1999-04-30,13.38,4.64,4.815,2.9,2.448,0.05,2.833,5.162,4.542,4.438,6.53,,,,,,,
1999-05-03,13.58,4.67,4.822,2.92,2.462,0.051,2.835,5.184,4.585,4.469,6.53,,,,,,,
1999-05-04,13.52,4.72,4.741,2.92,2.451,0.051,3.067,5.182,4.605,4.489,6.66,,,,,,,
1999-05-05,13.63,4.72,4.715,2.93,2.47,0.051,2.866,5.151,4.594,4.489,6.56,,,,,,,
1999-05-06,13.78,4.72,4.772,2.94,2.472,0.055,2.92,5.205,4.604,4.5,6.68,,,,,,,
1999-05-07,13.81,4.72,4.796,2.94,2.482,0.055,2.918,5.197,4.604,4.479,6.73,,,,,,,
1999-05-10,13.31,4.62,4.813,2.93,2.47,0.053,2.922,5.176,4.586,4.5,6.73,,,,,,,
1999-05-11,13.31,4.72,4.804,2.93,2.429,0.051,2.877,5.167,4.584,4.5,6.78,,,,,,,
1999-05-12,14.01,4.68,4.548,2.93,2.364,0.051,2.885,5.156,4.584,4.52,6.78,,,,,,,
1999-05-13,14.03,4.6,4.258,2.93,2.364,0.035,2.885,5.128,4.573,4.489,6.78,,,,,,,
1999-05-14,14.04,4.63,4.96,2.91,2.481,0.025,2.897,5.231,4.656,4.438,6.78,,,,,,,
1999-05-17,14.11,4.62,4.965,2.93,2.493,0.026,2.902,5.223,4.649,4.459,6.78,,,,,,,
1999-05-18,14.06,4.62,5.011,2.91,2.492,0.028,2.935,5.235,4.657,4.367,6.78,,,,,,,
1999-05-19,14.07,4.62,5.044,2.94,2.491,0.027,2.969,5.212,4.605,4.387,6.78,,,,,,,
1999-05-20,14.07,4.62,5.056,2.92,2.44,0.03,3.235,5.189,4.594,4.408,6.83,,,,,,,
1999-05-21,14.15,4.64,5.139,2.95,2.446,0.032,2.952,5.174,4.584,4.408,6.83,,,,,,,
1999-05-24,14.15,4.64,5.126,2.95,2.446,0.033,2.954,5.15,4.619,4.428,6.83,,,,,,,
1999-05-25,12.67,4.64,5.181,2.95,2.493,0.035,2.96,5.125,4.647,4.489,6.83,,,,,,,
1999-05-26,12.71,4.75,5.226,2.97,2.492,0.034,2.998,5.195,4.636,4.459,6.83,,,,,,,
1999-05-27,13.53,4.69,5.329,2.98,2.544,0.029,2.954,5.223,4.636,4.428,6.83,,,,,,,
1999-05-28,13.59,4.7,5.243,2.97,2.544,0.029,2.962,5.255,4.646,4.418,6.73,,,,,,,
1999-05-31,13.61,4.69,5.212,2.94,2.544,0.031,2.967,5.254,4.642,4.438,6.73,,,,,,,
1999-06-01,13.54,4.7,5.418,2.95,2.443,0.033,3.263,5.263,4.764,4.479,6.78,,,,,,,
1999-06-02,13.49,4.64,5.324,3.01,2.329,0.033,3.311,5.287,4.732,4.54,6.78,,,,,,,
1999-06-03,12.89,4.66,5.352,2.97,2.329,0.026,3.432,5.262,4.618,4.551,6.83,,,,,,,
1999-06-04,12.89,4.69,5.317,2.94,2.508,0.025,3.477,5.233,4.548,4.469,6.88,,,,,,,
1999-06-07,13.57,4.7,5.315,2.94,2.536,0.024,3.216,5.211,4.522,4.53,6.9,,,,,,,
1999-06-08,13.96,4.7,5.356,2.93,2.506,0.03,3.227,5.246,4.618,4.54,6.9,,,,,,,
1999-06-09,13.94,4.7,5.392,2.93,2.506,0.037,3.606,5.245,4.596,4.551,6.95,,,,,,,
1999-06-10,13.94,4.7,5.351,2.93,2.514,0.042,3.676,5.186,4.691,4.489,6.32,,,,,,,
1999-06-11,13.94,4.7,5.359,2.93,2.525,0.048,3.737,5.155,4.745,4.571,6.32,,,,,,,
1999-06-14,13.04,4.7,5.375,2.93,2.525,0.05,3.212,5.115,4.684,4.571,6.26,,,,,,,
1999-06-15,13.03,4.7,5.372,2.91,2.525,0.044,3.185,5.101,4.73,4.5,6.05,,,,,,,
1999-06-16,13.28,4.69,5.285,2.9,2.525,0.044,3.266,5.064,4.646,4.469,6.02,,,,,,,
1999-06-17,13.16,4.67,5.157,2.85,2.524,0.053,3.252,5.091,4.626,4.418,5.93,,,,,,,
1999-06-18,13.16,4.66,5.19,2.85,2.524,0.052,3.237,5.1,4.659,4.53,5.95,,,,,,,
1999-06-21,13.16,4.6,5.258,2.83,2.524,0.053,2.991,5.097,4.691,4.459,5.95,,,,,,,
1999-06-22,13.16,4.64,5.308,2.86,2.54,0.052,3.009,5.102,4.743,4.459,5.95,,,,,,,
1999-06-23,13.16,4.69,5.391,2.89,2.558,0.053,3.081,5.099,4.721,4.459,5.95,,,,,,,
1999-06-24,13.18,4.71,5.405,2.85,2.583,0.055,3.0,4.73,4.722,4.489,5.95,,,,,,,
1999-06-25,13.18,4.72,5.373,2.86,2.587,0.047,3.0,4.73,4.796,4.581,6.05,,,,,,,
1999-06-28,13.47,4.62,5.344,2.85,2.59,0.044,3.018,4.73,4.804,4.581,6.05,,,,,,,
1999-06-29,13.26,4.72,5.349,2.86,2.595,0.047,3.036,4.73,4.826,4.489,6.05,,,,,,,
1999-06-30,13.25,4.7,5.166,2.87,2.574,0.07,3.022,4.73,4.784,4.479,6.1,,,,,,,
1999-07-01,13.25,4.63,5.207,2.93,2.846,0.059,3.079,4.73,4.659,4.438,6.1,,,,,,,
1999-07-02,13.42,4.66,5.199,2.87,2.882,0.049,3.098,4.73,4.681,4.438,6.16,,,,,,,
1999-07-05,13.3,4.63,5.199,2.86,2.882,0.047,3.118,4.73,4.691,4.448,6.18,,,,,,,
1999-07-06,13.42,4.665,5.257,2.87,2.566,0.048,3.658,4.75,4.652,4.428,6.21,,,,,,,
1999-07-07,13.48,4.73,4.82,2.85,2.624,0.05,3.728,4.75,4.669,4.551,6.21,,,,,,,
1999-07-08,13.46,4.7,4.778,2.87,2.611,0.048,3.189,4.75,4.669,4.53,6.21,,,,,,,
1999-07-09,13.39,4.78,5.214,2.85,2.521,0.045,3.21,4.75,4.688,4.428,6.21,,,,,,,
1999-07-12,13.32,4.71,5.204,2.85,2.52,0.045,3.096,4.75,4.708,4.418,6.21,,,,,,,
1999-07-13,13.32,4.66,5.219,2.85,2.52,0.044,3.074,4.75,4.678,4.418,6.18,,,,,,,
1999-07-14,13.33,4.705,5.235,2.88,2.52,0.053,3.095,4.75,4.698,4.438,6.18,,,,,,,
1999-07-15,13.33,4.76,5.229,2.83,2.52,0.05,3.158,4.75,4.708,4.448,6.21,,,,,,,
1999-07-16,13.25,4.74,5.197,2.85,2.54,0.052,3.065,4.73,4.664,4.448,6.21,,,,,,,
1999-07-19,13.37,4.65,5.211,2.87,2.531,0.052,3.686,4.73,4.614,4.397,6.25,,,,,,,
1999-07-20,13.15,4.665,4.761,2.88,2.539,0.054,3.045,4.76,4.618,4.551,6.25,,,,,,,
1999-07-21,13.15,4.73,5.161,2.85,2.531,0.054,3.014,4.76,4.565,4.387,6.25,,,,,,,
1999-07-22,13.25,4.73,4.741,2.86,2.53,0.08,2.965,4.76,4.606,4.551,6.25,,,,,,,
1999-07-23,13.25,4.69,4.771,2.87,2.539,0.045,2.983,4.76,4.668,4.367,6.31,,,,,,,
1999-07-26,13.26,4.72,4.791,2.86,2.539,0.079,3.005,4.78,4.71,4.561,6.31,,,,,,,
1999-07-27,13.56,4.71,4.783,2.85,2.539,0.072,2.996,4.78,4.712,4.571,6.31,,,,,,,
1999-07-28,13.61,4.63,4.699,2.88,2.538,0.054,3.009,4.78,4.694,4.561,6.31,,,,,,,
1999-07-29,13.65,4.68,4.693,3.05,2.538,0.049,2.965,4.79,4.717,4.561,6.31,,,,,,,
1999-07-30,13.67,4.63,4.716,3.04,2.548,0.075,2.985,4.81,4.739,4.561,6.31,,,,,,,
1999-08-02,13.74,4.63,4.736,3.04,2.548,0.05,3.029,4.81,4.797,4.571,6.31,,,,,,,
1999-08-03,13.79,4.63,5.002,3.04,2.558,0.05,2.964,4.81,4.826,4.551,6.41,,,,,,,
1999-08-04,13.84,4.73,4.976,2.98,2.548,0.076,2.973,4.81,4.763,4.54,6.41,,,,,,,
1999-08-05,13.84,4.72,4.815,2.98,2.559,0.148,2.975,5.685,4.711,4.52,6.43,,,,,,,
1999-08-06,13.77,4.68,4.865,3.1,2.559,0.067,2.981,4.91,4.806,4.53,6.43,,,,,,,
1999-08-09,13.77,4.68,5.022,3.07,2.56,0.039,3.121,4.91,4.906,4.571,6.43,,,,,,,
1999-08-10,13.71,4.7,5.077,3.15,2.56,0.039,3.102,4.91,4.928,4.489,6.45,,,,,,,
1999-08-11,13.71,4.7,4.597,3.01,2.56,0.132,3.062,4.91,4.875,4.551,6.4,,,,,,,
1999-08-12,13.71,4.71,4.597,2.95,2.561,0.035,3.031,4.91,4.76,4.561,6.4,,,,,,,
1999-08-13,13.5,4.71,4.492,2.93,2.561,0.034,3.032,4.85,4.718,4.561,6.38,,,,,,,
1999-08-16,13.5,4.71,4.604,2.94,2.562,0.034,2.987,4.85,4.75,4.479,6.38,,,,,,,
1999-08-17,13.56,4.71,4.595,2.95,2.517,0.034,2.988,4.85,4.826,4.479,6.32,,,,,,,
1999-08-18,13.69,4.71,4.58,2.91,2.52,0.174,2.988,4.85,4.773,4.602,6.32,,,,,,,
1999-08-19,13.69,4.71,4.842,2.9,2.571,0.037,2.973,4.85,4.753,4.581,6.32,,,,,,,
1999-08-20,13.68,4.71,4.24,2.9,2.522,0.037,2.929,4.82,4.837,4.581,6.27,,,,,,,
1999-08-23,13.68,4.79,4.872,2.89,2.52,0.036,3.004,4.82,4.916,4.448,6.25,,,,,,,
1999-08-24,13.47,4.68,4.777,2.89,2.52,0.036,3.04,4.82,4.905,4.571,6.25,,,,,,,
1999-08-25,13.64,4.74,4.728,2.87,2.521,0.169,2.996,4.82,4.864,4.673,6.25,,,,,,,
1999-08-26,13.56,4.73,4.776,2.86,2.512,0.031,3.063,4.82,4.879,4.714,6.3,,,,,,,
1999-08-27,13.51,4.68,4.805,2.9,2.512,0.033,3.076,4.82,4.939,4.745,6.3,,,,,,,
1999-08-30,13.51,4.75,4.927,2.89,2.503,0.036,3.078,4.82,4.932,4.551,6.3,,,,,,,
1999-08-31,13.51,4.75,4.927,2.87,2.502,0.034,3.103,4.831,4.972,4.714,6.3,,,,,,,
1999-09-01,13.51,4.75,5.012,2.87,2.502,0.168,3.157,4.821,4.94,4.786,6.3,,,,,,,
1999-09-02,13.56,4.76,4.903,2.89,2.574,0.028,3.117,4.841,4.919,4.847,6.3,,,,,,,
1999-09-03,13.56,4.75,4.77,2.92,2.647,0.028,3.031,4.821,4.919,4.868,6.35,,,,,,,
1999-09-06,13.59,4.75,4.772,2.89,2.607,0.028,3.028,4.9,4.926,4.806,6.35,,,,,,,
1999-09-07,13.7,4.75,4.879,2.89,2.536,0.028,3.002,4.9,4.83,4.765,6.35,,,,,,,
1999-09-08,13.67,4.76,4.823,2.88,2.547,0.029,3.051,5.101,4.812,4.837,6.5,,,,,,,
1999-09-09,13.67,4.75,4.812,2.88,2.537,0.071,3.107,5.141,4.813,4.796,6.5,,,,,,,
1999-09-10,13.57,4.75,4.726,2.88,2.526,0.03,3.08,5.101,4.742,4.54,6.5,,,,,,,
1999-09-13,13.89,4.75,4.719,2.87,2.537,0.03,3.049,5.101,4.774,4.54,5.8,,,,,,,
1999-09-14,13.33,4.75,4.842,2.87,2.525,0.031,3.001,5.131,4.795,4.551,5.8,,,,,,,
1999-09-15,13.5,4.81,4.785,2.87,2.512,0.031,2.974,5.151,4.732,4.899,5.8,,,,,,,
1999-09-16,13.5,4.8,4.638,2.87,2.255,0.07,2.98,5.151,4.691,4.827,5.8,,,,,,,
1999-09-17,13.93,4.79,4.57,2.88,2.524,0.03,2.972,5.161,4.662,4.786,5.8,,,,,,,
1999-09-20,13.99,4.79,4.629,2.87,2.524,0.027,2.999,5.171,4.696,4.847,5.92,,,,,,,
1999-09-21,14.02,4.79,4.606,2.87,2.476,0.029,3.13,5.181,4.795,4.858,5.92,,,,,,,
1999-09-22,14.02,4.79,4.616,2.87,2.473,0.03,3.154,5.181,4.805,4.817,5.92,,,,,,,
1999-09-23,14.19,4.0,4.585,2.86,2.483,0.03,3.156,5.181,4.825,4.704,5.85,,,,,,,
1999-09-24,14.73,4.78,4.509,2.82,2.54,0.032,3.159,5.181,4.785,4.863,5.89,,,,,,,
1999-09-27,14.7,4.78,4.603,2.82,2.47,0.036,3.192,5.201,4.811,4.714,5.89,,,,,,,
1999-09-28,14.7,4.78,4.623,2.84,2.451,0.034,3.194,5.201,4.868,4.684,5.86,,,,,,,
1999-09-29,14.84,4.78,4.629,2.85,2.522,0.035,3.229,5.201,4.825,4.704,5.86,,,,,,,
1999-09-30,14.84,4.78,4.652,2.87,2.522,0.034,3.233,5.2,4.856,4.899,5.8,,,,,,,
1999-10-01,15.29,4.8,4.785,2.88,2.52,0.035,3.334,5.3,4.866,4.873,5.9,,,,,,,
1999-10-04,15.29,4.82,4.755,2.95,2.522,0.039,3.339,5.32,4.84,4.858,5.89,,,,,,,
1999-10-05,15.29,4.83,4.889,2.91,2.657,0.04,3.396,5.32,4.844,4.842,5.89,,,,,,,
1999-10-06,15.69,4.82,4.864,2.93,2.676,0.133,3.361,5.32,4.812,4.858,5.82,,,,,,,
1999-10-07,15.69,4.82,4.825,2.9,2.61,0.058,3.25,5.28,4.813,4.817,5.82,,,,,,,
1999-10-08,15.62,4.83,4.797,2.9,2.61,0.059,3.199,5.21,4.803,4.827,5.84,,,,,,,
1999-10-11,15.58,4.82,4.792,2.92,2.7,0.06,3.242,5.21,4.814,4.837,5.84,,,,,,,
1999-10-12,15.65,4.83,4.875,2.88,2.52,0.059,3.284,5.21,4.846,4.725,5.84,,,,,,,
1999-10-13,15.65,4.87,4.873,2.88,2.749,0.059,3.229,5.21,4.992,4.899,5.83,,,,,,,
1999-10-14,15.65,4.87,4.887,2.9,2.801,0.056,3.217,5.21,5.033,4.796,5.83,,,,,,,
1999-10-15,15.65,4.88,4.8,2.9,2.85,0.092,3.195,5.21,5.053,4.806,5.84,,,,,,,
1999-10-18,16.15,4.88,4.948,2.9,2.798,0.062,3.217,5.21,5.108,4.96,5.84,,,,,,,
1999-10-19,16.14,4.89,4.967,2.89,2.848,0.064,3.216,5.21,5.139,4.796,5.89,,,,,,,
1999-10-20,16.19,4.89,4.894,2.891,2.852,0.075,3.188,5.21,5.138,5.001,5.91,,,,,,,
1999-10-21,16.44,4.9,4.922,2.921,2.848,0.156,3.198,5.21,5.127,4.991,5.9,,,,,,,
1999-10-22,16.44,4.9,4.904,2.921,2.88,0.05,3.197,5.21,5.055,5.001,5.89,,,,,,,
1999-10-25,16.2,4.91,4.932,2.9,2.851,0.049,3.217,5.21,5.035,5.001,5.85,,,,,,,
1999-10-26,16.18,4.93,5.035,2.9,2.898,0.046,3.237,5.21,5.139,4.796,5.85,,,,,,,
1999-10-27,15.82,4.93,4.941,3.38,2.951,0.035,3.229,5.21,5.138,5.083,5.85,,,,,,,
1999-10-28,15.92,4.91,4.856,3.368,2.952,0.15,3.169,5.21,5.117,5.083,5.88,,,,,,,
1999-10-29,15.91,4.91,4.793,3.409,2.993,0.07,3.206,5.29,5.096,5.063,5.883,,,,,,,
1999-11-01,15.91,4.92,4.82,3.409,2.922,0.055,3.228,5.26,5.133,5.104,5.88,,,,,,,
1999-11-02,16.07,4.9,4.872,3.459,2.912,0.054,3.279,5.265,5.114,4.991,5.89,,,,,,,
1999-11-03,16.18,5.0,4.927,3.48,2.972,0.055,3.242,5.265,5.093,4.981,5.89,,,,,,,
1999-11-04,16.41,4.99,4.81,3.48,3.001,0.054,3.351,5.34,5.072,4.981,5.89,,,,,,,
1999-11-05,16.24,5.01,4.833,3.378,3.001,0.054,3.393,5.29,5.124,4.981,5.88,,,,,,,
1999-11-08,15.86,4.99,4.877,3.378,3.001,0.039,3.445,5.29,5.171,4.981,5.88,,,,,,,
1999-11-09,16.07,4.99,4.881,3.35,3.062,0.038,3.658,5.22,5.191,5.001,5.88,,,,,,,
1999-11-10,16.4,4.99,4.932,3.358,3.051,0.04,3.681,5.22,5.2,5.022,5.98,,,,,,,
1999-11-11,16.3,4.99,5.039,3.358,3.072,0.049,3.489,5.22,5.201,5.016,6.02,,,,,,,
1999-11-12,16.46,4.99,4.846,3.348,3.119,0.054,3.599,5.22,5.231,5.073,6.2,,,,,,,
1999-11-15,16.08,4.99,4.858,3.348,3.078,0.054,3.389,5.22,5.257,5.073,5.78,,,,,,,
1999-11-16,16.59,4.99,4.94,3.368,3.068,0.054,3.627,5.22,5.295,5.073,5.74,,,,,,,
1999-11-17,17.02,5.02,4.939,3.449,3.07,0.059,3.46,5.22,5.232,5.011,5.82,,,,,,,
1999-11-18,17.02,5.02,4.918,3.449,3.088,0.059,3.456,5.22,5.232,5.073,5.71,,,,,,,
1999-11-19,17.02,5.01,4.826,3.449,3.077,0.06,3.424,5.2,5.232,5.073,5.75,,,,,,,
1999-11-22,16.62,5.01,4.886,3.449,3.08,0.062,3.425,5.24,5.239,5.114,5.59,,,,,,,
1999-11-23,16.66,5.04,4.865,3.449,3.08,0.064,3.411,5.24,5.232,5.206,5.6,,,,,,,
1999-11-24,16.7,5.06,4.854,3.419,3.222,0.121,3.412,5.24,5.246,5.186,5.61,,,,,,,
1999-11-25,16.7,5.08,4.813,3.419,3.203,0.115,3.446,5.24,5.249,5.206,5.635,,,,,,,
1999-11-26,17.45,,4.803,,3.121,0.12,,5.25,5.262,,,,,,,,,
